Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1.0,0.0,0.5123920014477886,0.0,0.0,0.0,0.33419319194156843,0.0
1.0,0.0,0.4609415010148545,0.0,0.0,0.16666666666666669,0.3819595377998711,0.0
0.5,0.0,0.5245687258196022,0.0,0.0,0.0,0.42286368807669106,0.0
1.0,0.0,0.30305492211834695,0.375,0.3333333333333333,0.8333333333333333,0.5389979395502239,0.0
1.0,1.0,0.7569888377101234,0.125,0.5,0.5,0.5713912159474593,0.0
1.0,1.0,0.3808747746824283,0.125,0.0,0.16666666666666669,0.4386984565615303,0.5
0.0,1.0,0.48725232544665026,0.0,0.16666666666666666,0.16666666666666669,0.6449935901916027,0.0
1.0,0.0,0.703052981732621,0.0,0.0,0.0,0.345711887900344,0.0
0.5,0.0,0.5365042552634004,0.0,0.0,0.0,0.39134423619738523,0.0
1.0,0.0,0.6143161813267404,0.125,0.16666666666666666,0.3333333333333333,0.491789087380451,0.0
1.0,0.0,0.5245687258196022,0.0,0.0,0.0,0.3502016019446998,0.0
0.0,0.0,0.7569888377101234,0.125,0.0,0.3333333333333333,0.6975306263001565,0.5
1.0,0.0,0.4472922349726715,0.0,0.0,0.0,0.345711887900344,0.0
1.0,0.0,0.48725232544665026,0.0,0.0,0.0,0.33812548386615277,0.0
0.5,1.0,0.48725232544665026,0.0,0.0,0.0,0.415246066809403,1.0
1.0,1.0,0.47425359193699573,0.0,0.0,0.0,0.34755366512192026,1.0
1.0,0.0,0.7214359669556479,0.0,0.0,0.0,0.35072669661240763,0.0
0.0,0.0,0.7304707505074273,0.125,0.0,0.16666666666666669,0.7108659481313712,0.0
1.0,0.0,0.48725232544665026,0.0,0.0,0.0,0.43917261968469046,0.0
0.0,1.0,0.6649238650536912,0.0,0.0,0.16666666666666669,0.7041351302819917,0.0
0.0,0.0,0.684226842206985,0.0,0.0,0.0,0.5553247552872789,0.5
1.0,0.0,0.5709953919328529,0.0,0.0,0.0,0.37651251911406697,0.0
1.0,1.0,0.655081829672674,0.0,0.0,0.0,0.37809730939294867,0.0
1.0,1.0,0.0923482669161713,0.0,0.16666666666666666,0.16666666666666669,0.3908208840039565,0.0
1.0,0.0,0.48725232544665026,0.0,0.0,0.0,0.3502016019446998,0.0
1.0,0.0,0.48725232544665026,0.0,0.0,0.16666666666666669,0.43917261968469046,0.0
1.0,0.0,0.4609415010148545,0.0,0.0,0.0,0.25828491245817975,0.5
1.0,0.0,0.6037440615755588,0.0,0.0,1.0,0.6492173620225161,0.0
0.0,1.0,0.6746372297759438,0.125,0.16666666666666666,0.0,0.710264100162358,0.5
0.5,0.0,0.5597056195805178,0.0,0.0,0.0,0.42848647040443827,0.0
1.0,1.0,0.48725232544665026,0.0,0.0,0.0,0.34990232023989454,1.0
1.0,0.0,0.49995884059013157,0.0,0.0,0.0,0.37251505985030076,0.0
1.0,0.0,0.0923482669161713,0.5,0.16666666666666666,0.6666666666666665,0.5456498136790771,1.0
1.0,0.0,0.5245687258196022,0.125,0.0,0.0,0.34801082050793586,0.0
0.0,0.0,0.7656430153355597,0.125,0.0,0.16666666666666669,0.7212027531446069,0.5
0.5,1.0,0.5597056195805178,0.0,0.0,0.0,0.42286368807669106,0.0
